STATE,RATE
alabama,73.2
alaska,76.6
arizona,76.3
arkansas,73.8
california,79
colorado,78.3
connecticut,78.4
delaware,76.7
florida,77.5
georgia,75.6
hawaii,80.7
idaho,78.4
illinois,76.8
indiana,75
iowa,77.5
kansas,76.4
kentucky,73.5
louisiana,73.1
maine,77.8
maryland,76.8
massachusetts,79
michigan,76
minnesota,79.1
mississippi,71.9
missouri,75.1
montana,76.8
nebraska,77.7
nevada,76.3
new hampshire,79
new jersey,77.5
new mexico,74.5
new york,77.7
north carolina,76.1
north dakota,76.9
ohio,75.3
oklahoma,74.1
oregon,78.8
pennsylvania,76.8
rhode island,78.2
south carolina,74.8
south dakota,76.7
tennessee,73.8
texas,76.5
utah,78.6
vermont,78.8
virginia,77.6
washington,79.2
west virginia,72.8
wisconsin,77.7
wyoming,76.3
