state, doc_per_100k
alabama,223.32
alaska,259.16
arizona,245.76
arkansas,212.61
california,273.41
colorado,288.57
connecticut,360.73
delaware,257.70
florida,264.63
georgia,226.70
hawaii,300.92
idaho,188.43
illinois,287.09
indiana,227.39
iowa,215.30
kansas,252.75
kentucky,241.20
louisiana,276.63
maine,325.49
maryland,363.63
massachusetts,435.38
michigan,303.71
minnesota,307.13
mississippi,194.14
missouri,276.54
montana,243.31
nebraska,255.83
nevada,203.99
new hampshire,313.64
new jersey,317.42
new mexico,239.67
new york,369.76
north carolina,257.87
north dakota,240.53
ohio,297.29
oklahoma,209.56
oregon,296.04
pennsylvania,328.25
rhode island,407.47
south carolina,234.15
south dakota,241.50
tennessee,263.69
texas,228.35
utah,226.04
vermont,382.43
virginia,268.53
washington,270.70
west virginia,261.02
wisconsin,266.39
wyoming,196.37
